# Blocks-15.0.0.txt
# 日期：2022-01-28, 20:58:00 GMT [KW]
# © 2022 Unicode®, Inc.
# 使用条款详见 https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
# 相关文档详见 https://www.unicode.org/reports/tr44/
#
# 格式:
# 始码..终码; 始码、译名(|例字)|区段名

# ================================================

# 注意：区段(Block)名对比时，忽略大小写、空格、连字符和下划线。例如，"Latin Extended-A"等价于"latin extended a"。
# 	关于属性值对比，详见 UAX #44: https://www.unicode.org/reports/tr44/
#
#  所有区段起始值为 (cp MOD 16) = 0，结束值为 (cp MOD 16) = 15。换言之，区段始码末尾16进制数为...0，终码则为...F。这确保区段总被整列地分配且码表不被中断。
#
#  所有未明列为区段的码位(code point)，其值皆为 No_Block。

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block

# ------------------------------------------------
# 路线图区段名标注：
#	〓标示此区段尚为路线图。
#	【已正式被UTC或WG2接受的】
#	(已正式向UTC或WG2提案的)
#	¿尚未编写详细提案的?
#	~标示码位有冲突~
#	¿¿¿欠分配的???
#	✱标示此区段有意外用途，未来码位或有冲突。

0000..007F; 0000基本拉丁|Basic Latin
0080..00FF; 0080拉丁一补充|Latin-1 Supplement
0100..017F; 0100拉丁扩充甲|Latin Extended-A
0180..024F; 0180拉丁扩充乙|Latin Extended-B
0250..02AF; 0250国际音标扩充|IPA Extensions
02B0..02FF; 02B0有距修饰字|Spacing Modifier Letters
0300..036F; 0300结合变音标记|Combining Diacritical Marks
0370..03FF; 0370希腊及科普特|Ελληνικά|Greek and Coptic
0400..04FF; 0400西里尔|Кириллица|Cyrillic
0500..052F; 0500西里尔补充|Cyrillic Supplement
0530..058F; 0530亚美尼亚|հայերեն|Armenian
0590..05FF; 0590希伯来|עברית|Hebrew
0600..06FF; 0600阿拉伯|العربية|Arabic
0700..074F; 0700叙利亚|ܣܘܪܝܝܐ|Syriac
0750..077F; 0750阿拉伯补充|Arabic Supplement
0780..07BF; 0780塔纳|ތާނަ|Thaana
07C0..07FF; 07C0恩科(西非书面)|ߒߞߏ|N’Ko
0800..083F; 0800撒马利亚|ࠔࠌࠓࠉࠌ|Samaritan
0840..085F; 0840曼德恩|ࡓࡀࡈࡍࡀ|Mandaic
0860..086F; 0860叙利亚补充|Syriac Supplement
0870..089F; 0870阿拉伯扩充乙|Arabic Extended-B
08A0..08FF; 08A0阿拉伯扩充甲|Arabic Extended-A
0900..097F; 0900天城体|देवनागरी|Devanagari
0980..09FF; 0980孟加拉|বাংলা|Bengali
0A00..0A7F; 0A00果鲁穆奇|ਪੰਜਾਬੀ|Gurmukhi
0A80..0AFF; 0A80古吉拉特|ગુજરાતી|Gujarati
0B00..0B7F; 0B00奥里亚|ଓଡ଼ିଆ|Oriya
0B80..0BFF; 0B80泰米尔|தமிழ்|Tamil
0C00..0C7F; 0C00泰卢固|తెలుగు|Telugu
0C80..0CFF; 0C80卡纳达|ಕನ್ನಡ|Kannada
0D00..0D7F; 0D00马拉雅拉姆|മലയാളം|Malayalam
0D80..0DFF; 0D80僧伽罗|සිංහල|Sinhala
0E00..0E7F; 0E00泰文|ไทย|Thai
0E80..0EFF; 0E80老挝|ລາວ|Lao
0F00..0FFF; 0F00藏文|བོད་སྐད་|Tibetan
1000..109F; 1000缅文|ဗမာ|Myanmar
10A0..10FF; 10A0格鲁吉亚|ქართული|Georgian
1100..11FF; 1100谚文字母|Hangul Jamo
1200..137F; 1200埃塞|ግዕዝ|Ethiopic
1380..139F; 1380埃塞补充|Ethiopic Supplement
13A0..13FF; 13A0切罗基|ᏣᎳᎩ|Cherokee
1400..167F; 1400统一加拿大土著音节|Unified Canadian Aboriginal Syllabics
1680..169F; 1680欧甘|᚛ᚑᚌᚐᚋ᚜|Ogham
16A0..16FF; 16A0卢恩|ᚱᚢᚾᛟ|Runic
1700..171F; 1700他加禄|ᜊᜌ᜔ᜊᜌᜒᜈ᜔|Tagalog
1720..173F; 1720哈努努奥|ᜱᜨᜳᜨᜳᜢ|Hanunoo
1740..175F; 1740布希德|ᝊᝓᝑᝒ|Buhid
1760..177F; 1760蒂亚格班瓦|ᝦᝤᝪᝨᝯ|Tagbanwa
1780..17FF; 1780高棉|ខ្មែរ|Khmer
1800..18AF; 1800蒙文|ᠮᠣᠩᠭᠣᠯ ᠬᠡᠯᠡ|Mongolian
18B0..18FF; 18B0统一加拿大土著音节扩充|Unified Canadian Aboriginal Syllabics Extended
1900..194F; 1900林布|ᤕᤠᤰᤌᤢᤱ ᤐᤠᤴ|Limbu
1950..197F; 1950傣㐻|ᥖᥭᥰᥖᥬᥳᥑᥨᥒᥰ|Tai Le
1980..19DF; 1980新傣仂|ᦟᦲᧅᦷᦎᦺᦑᦟᦹᧉ|New Tai Lue
19E0..19FF; 19E0高棉符号|Khmer Symbols
1A00..1A1F; 1A00布吉|ᨕᨘᨁᨗ|Buginese
1A20..1AAF; 1A20傣昙|ᨲ᩠ᩅᩫᨵᩢᨾ᩠ᨾ᩼|Tai Tham
1AB0..1AFF; 1AB0结合变音标记扩充|Combining Diacritical Marks Extended
1B00..1B7F; 1B00巴厘|ᬩᬲᬩᬮᬶ|Balinese
1B80..1BBF; 1B80巽他|ᮞᮥᮔ᮪ᮓ|Sundanese
1BC0..1BFF; 1BC0巴塔克|ᯅᯖᯂ᯲|Batak
1C00..1C4F; 1C00雷布查|ᰛᰩᰵᰛᰧᰵᰶ|Lepcha
1C50..1C7F; 1C50奥尔奇基|ᱚᱞ ᱪᱤᱠᱤ|Ol Chiki
1C80..1C8F; 1C80西里尔扩充丙|Cyrillic Extended-C
1C90..1CBF; 1C90格鲁吉亚扩充|Georgian Extended
1CC0..1CCF; 1CC0巽他补充|Sundanese Supplement
1CD0..1CFF; 1CD0吠陀扩充|Vedic Extensions
1D00..1D7F; 1D00音标扩充|Phonetic Extensions
1D80..1DBF; 1D80音标扩充增补|Phonetic Extensions Supplement
1DC0..1DFF; 1DC0结合变音标记补充|Combining Diacritical Marks Supplement
1E00..1EFF; 1E00拉丁扩充追加|Latin Extended Additional
1F00..1FFF; 1F00希腊扩充|Greek Extended
2000..206F; 2000通用标点|General Punctuation
2070..209F; 2070上标及下标|Superscripts and Subscripts
20A0..20CF; 20A0货币符号|Currency Symbols
20D0..20FF; 20D0结合变音记号|Combining Diacritical Marks for Symbols
2100..214F; 2100类字符号|Letterlike Symbols
2150..218F; 2150数字形式|Number Forms
2190..21FF; 2190箭头|Arrows
2200..22FF; 2200数学运算符|Mathematical Operators
2300..23FF; 2300各式技术符|Miscellaneous Technical
2400..243F; 2400控制图符|Control Pictures
2440..245F; 2440光学字符识别|Optical Character Recognition
2460..24FF; 2460附围字母数字|Enclosed Alphanumerics
2500..257F; 2500制表符|Box Drawing
2580..259F; 2580方块构素|Block Elements
25A0..25FF; 25A0几何形状|Geometric Shapes
2600..26FF; 2600各式符号|Miscellaneous Symbols
2700..27BF; 2700什锦|Dingbats
27C0..27EF; 27C0各式数学符号甲|Miscellaneous Mathematical Symbols-A
27F0..27FF; 27F0增补箭头甲|Supplemental Arrows-A
2800..28FF; 2800布莱叶盲文点字|⠠⠃⠗⠇|Braille Patterns
2900..297F; 2900增补箭头乙|Supplemental Arrows-B
2980..29FF; 2980各式数学符号乙|Miscellaneous Mathematical Symbols-B
2A00..2AFF; 2A00增补数学运算符|Supplemental Mathematical Operators
2B00..2BFF; 2B00各式符号及箭头|Miscellaneous Symbols and Arrows
2C00..2C5F; 2C00格拉哥里|ⰳⰾⰰⰳⱁⰾⰹⱌⰰ|Glagolitic
2C60..2C7F; 2C60拉丁扩充丙|Latin Extended-C
2C80..2CFF; 2C80科普特|ⲘⲉⲧⲢⲉⲙ̀ⲛⲭⲏⲙⲓ|Coptic
2D00..2D2F; 2D00格鲁吉亚补充|Georgian Supplement
2D30..2D7F; 2D30提非纳|ⵜⵉⴼⵉⵏⴰⵖ|Tifinagh
2D80..2DDF; 2D80埃塞扩充|Ethiopic Extended
2DE0..2DFF; 2DE0西里尔扩充甲|Cyrillic Extended-A
2E00..2E7F; 2E00增补标点|Supplemental Punctuation
2E80..2EFF; 2E80中日韩部首补充|CJK Radicals Supplement
2F00..2FDF; 2F00康熙部首|Kangxi Radicals
2FE0..2FEF; 〓???(2FE0..2FEF)
2FF0..2FFF; 2FF0表意描述字符|Ideographic Description Characters
3000..303F; 3000中日韩符号及标点|CJK Symbols and Punctuation
3040..309F; 3040平假名|ひらがな|Hiragana
30A0..30FF; 30A0片假名|カタカナ|Katakana
3100..312F; 3100注音|ㄅㄆㄇㄈ|Bopomofo
3130..318F; 3130谚文兼容字母|Hangul Compatibility Jamo
3190..319F; 3190汉文训读|Kanbun
31A0..31BF; 31A0注音扩充|Bopomofo Extended
31C0..31EF; 31C0中日韩笔画|CJK Strokes
31F0..31FF; 31F0片假名音标扩充|Katakana Phonetic Extensions
3200..32FF; 3200附围中日韩字母及月份|Enclosed CJK Letters and Months
3300..33FF; 3300中日韩兼容|CJK Compatibility
3400..4DBF; 3400中日韩统一表意扩充甲|CJK Unified Ideographs Extension A
4DC0..4DFF; 4DC0易经六十四卦|Yijing Hexagram Symbols
4E00..9FFF; 4E00中日韩统一表意文字|CJK Unified Ideographs
A000..A48F; A000彝文音节|ꆈꌠꁱꂷ|Yi Syllables
A490..A4CF; A490彝文部首|Yi Radicals
A4D0..A4FF; A4D0傈僳(老)|ꓡꓲꓢꓴ|Lisu
A500..A63F; A500瓦伊|ꕙꔤ|Vai
A640..A69F; A640西里尔扩充乙|Cyrillic Extended-B
A6A0..A6FF; A6A0巴默姆|ꛀꛣꚧꚳ|Bamum
A700..A71F; A700声调修饰字|Modifier Tone Letters
A720..A7FF; A720拉丁扩充丁|Latin Extended-D
A800..A82F; A800西洛蒂城体|ꠍꠤꠟꠐꠤ|Syloti Nagri
A830..A83F; A830通用印度数字形式|Common Indic Number Forms
A840..A87F; A840八思巴|ꡖꡍꡂꡛ ꡌ|Phags-pa
A880..A8DF; A880索拉什特拉|ꢱꣃꢬꢵꢰ꣄ꢜ꣄ꢬ|Saurashtra
A8E0..A8FF; A8E0天城体扩充|Devanagari Extended
A900..A92F; A900克耶利|ꤜꤟꤤ꤬|Kayah Li
A930..A95F; A930雷姜|ꤽꥍꤺꥏ|Rejang
A960..A97F; A960谚文字母扩充甲|Hangul Jamo Extended-A
A980..A9DF; A980爪哇|ꦗꦮ|Javanese
A9E0..A9FF; A9E0缅文扩充乙|Myanmar Extended-B
AA00..AA5F; AA00占文|ꨌꩌ|Cham
AA60..AA7F; AA60缅文扩充甲|Myanmar Extended-A
AA80..AADF; AA80傣越|ꪎꪳ ꪼꪕ|Tai Viet
AAE0..AAFF; AAE0米代文扩充|Meetei Mayek Extensions
AB00..AB2F; AB00埃塞扩充甲|Ethiopic Extended-A
AB30..AB6F; AB30拉丁扩充戊|Latin Extended-E
AB70..ABBF; AB70切罗基补充|Cherokee Supplement
ABC0..ABFF; ABC0米代文|ꯃꯤꯇꯩ ꯃꯌꯦꯛ|Meetei Mayek
AC00..D7AF; AC00谚文音节|한글|Hangul Syllables
D7B0..D7FF; D7B0谚文字母扩充乙|Hangul Jamo Extended-B
D800..DB7F; D800高位替代|High Surrogates
DB80..DBFF; DB80高位私用替代|High Private Use Surrogates
DC00..DFFF; DC00低位替代|Low Surrogates
E000..F8FF; E000私用区|Private Use Area
F900..FAFF; F900中日韩兼容表意文字|CJK Compatibility Ideographs
FB00..FB4F; FB00字母表现形式|Alphabetic Presentation Forms
FB50..FDFF; FB50阿拉伯表现形式甲|Arabic Presentation Forms-A
FE00..FE0F; FE00变体选择符|Variation Selectors
FE10..FE1F; FE10竖排形式|Vertical Forms
FE20..FE2F; FE20结合半边标记|Combining Half Marks
FE30..FE4F; FE30中日韩兼容形式|CJK Compatibility Forms
FE50..FE6F; FE50小型形式变体|Small Form Variants
FE70..FEFF; FE70阿拉伯表现形式乙|Arabic Presentation Forms-B
FF00..FFEF; FF00半角及全角|Halfwidth and Fullwidth Forms
FFF0..FFFF; FFF0特殊|Specials
10000..1007F; 10000线形乙音节|Linear B Syllabary
10080..100FF; 10080线形乙表意|Linear B Ideograms
10100..1013F; 10100爱琴数字|Aegean Numbers
10140..1018F; 10140古希腊数字|Ancient Greek Numbers
10190..101CF; 10190古代符号|Ancient Symbols
101D0..101FF; 101D0费斯托斯圆盘|Phaistos Disc
10200..1023F; 〓1020?北古西班牙(Northern Palaeohispanic)
10240..1027F; 〓1024?南古西班牙(Southern Palaeohispanic)
10280..1029F; 10280吕基亚|𐊗𐊕𐊐𐊎𐊆𐊍𐊆|Lycian
102A0..102DF; 102A0加里亚|Carian
102E0..102FF; 102E0科普特闰余数字|Coptic Epact Numbers
10300..1032F; 10300古意大利|Old Italic
10330..1034F; 10330哥特|𐌲𐌿𐍄𐌹𐍃𐌺𐌰|Gothic
10350..1037F; 10350古彼尔姆|Old Permic
10380..1039F; 10380乌加里特|Ugaritic
103A0..103DF; 103A0古波斯|Old Persian
103E0..103FF; 〓103??萧伯纳速写扩充¿Shavian Quikscript Extensions?
10400..1044F; 10400德撒律|𐐔𐐯𐑅𐐨𐑉𐐯𐐻|Deseret
10450..1047F; 10450萧伯纳|𐑖𐑱𐑝𐑾𐑯|Shavian
10480..104AF; 10480伊斯马尼亚|𐒋𐒘𐒈𐒑𐒛𐒒𐒕𐒀|Osmanya
104B0..104FF; 104B0奥色治|𐓏𐒰𐓓𐒰𐓓𐒷|Osage
10500..1052F; 10500爱尔巴桑|𐔇𐔐𐔁𐔀𐔛𐔀𐔓𐔍𐔝|Elbasan
10530..1056F; 10530高加索阿尔巴尼亚|Caucasian Albanian
10570..105BF; 10570维斯库奇|𐕲𐖻𐖶𐖨𐖷𐖰𐖥|Vithkuqi
105C0..105FF; 〓105C0托兹里【Todhri】
10600..1077F; 10600线形文字甲|Linear A
10780..107BF; 10780拉丁扩充己|Latin Extended-F
107C0..107FF; 〓107C?雷姜扩充(Rejang Extended)
10800..1083F; 10800塞浦路斯音节|Cypriot Syllabary
10840..1085F; 10840帝国阿拉姆|𐡀𐡓𐡌𐡉𐡀|Imperial Aramaic
10860..1087F; 10860巴尔米拉|𐡶𐡣𐡬𐡥𐡴|Palmyrene
10880..108AF; 10880奈伯特|𐢕𐢂𐢋𐢈|Nabataean
108B0..108DF; 〓108B?原始西奈(Proto-Sinaitic)
108E0..108FF; 108E0哈特拉|𐣤𐣵𐣣𐣭|Hatran
10900..1091F; 10900腓尼基|𐤊𐤍𐤀𐤍𐤌|Phoenician
10920..1093F; 10920吕底亚|𐤮𐤱𐤠𐤭𐤣𐤶𐤯𐤦𐤳|Lydian
10940..1095F; 〓10940塞德【Sidetic】
10960..1097F; 〓109??努米底亚¿Numidian?
10980..1099F; 10980麦罗埃圣书体|Meroitic Hieroglyphs
109A0..109FF; 109A0麦罗埃草书体|Meroitic Cursive
10A00..10A5F; 10A00佉卢|𐨑𐨪𐨆𐨯𐨠𐨁|Kharoshthi
10A60..10A7F; 10A60古南阿拉比亚|𐩣𐩯𐩬𐩵|Old South Arabian
10A80..10A9F; 10A80古北阿拉比亚|Old North Arabian
10AA0..10ABF; 〓10AA?巴尔蒂(Balti)
10AC0..10AFF; 10AC0摩尼|Manichaean
10B00..10B3F; 10B00阿维斯塔|𐬛𐬍𐬥 𐬛𐬀𐬠𐬌𐬫𐬭𐬵|Avestan
10B40..10B5F; 10B40碑铭体帕提亚|Inscriptional Parthian
10B60..10B7F; 10B60碑铭体巴列维|𐭯𐭠𐭫𐭮𐭩𐭪|Inscriptional Pahlavi
10B80..10BAF; 10B80诗篇体巴列维|Psalter Pahlavi
10BB0..10BDF; 〓10BB?书面体巴列维(Book Pahlavi)
10BE0..10BFF; 〓10BE?巴布尔(Baburi)
10C00..10C4F; 10C00突厥|𐰜𐰇𐰛|Old Turkic
10C80..10CFF; 10C80古匈牙利|Old Hungarian
10D00..10D3F; 10D00哈尼菲罗兴亚|𐴌𐴗𐴥𐴝𐴙𐴚𐴒𐴙𐴝|Hanifi Rohingya
10D40..10D8F; 〓10D40加拉伊【Garay】
10D90..10E5F; 〓10D9?阿拉伯扩充丁(Arabic Extended-D)
10E60..10E7F; 10E60鲁米数字符号|Rumi Numeral Symbols
10E80..10EBF; 10E80耶西迪|𐺨𐺦𐺏𐺨𐺋𐺨|Yezidi
10EC0..10EFF; 10EC0阿拉伯扩充丙|Arabic Extended-C
10F00..10F2F; 10F00古粟特|Old Sogdian
10F30..10F6F; 10F30粟特|Sogdian
10F70..10FAF; 10F70回鹘|Old Uyghur
10FB0..10FDF; 10FB0花剌子模|𐾳𐾲𐾲𐿋𐾲𐾲𐾽𐾻|Chorasmian
10FE0..10FFF; 10FE0以利买|𐿯𐿫𐿩𐿬𐿠𐿪|Elymaic
11000..1107F; 11000婆罗米|𑀩𑁆𑀭𑀸𑀳𑁆𑀫𑀻|Brahmi
11080..110CF; 11080开梯|𑂍𑂶𑂟𑂲|Kaithi
110D0..110FF; 110D0索拉索姆彭|𑃐𑃦𑃝𑃗 𑃐𑃦𑃖𑃣𑃗|Sora Sompeng
11100..1114F; 11100查克马|𑄌𑄋𑄴𑄟𑄳𑄦|Chakma
11150..1117F; 11150默哈杰内|𑅬𑅱𑅐𑅛𑅧𑅑|Mahajani
11180..111DF; 11180沙勒德|𑆯𑆳𑆫𑆢𑆳|Sharada
