# Blocks-13.0.0.txt
# Date: 2019-07-10, 19:06:00 GMT [KW]
# 2019 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
# For documentation, see http://www.unicode.org/reports/tr44/
#
# Format:
# Start Code..End Code; Block Name

# ================================================

# Note:   When comparing block names, casing, whitespace, hyphens,
#         and underbars are ignored.
#         For example, "Latin Extended-A" and "latin extended a" are equivalent.
#         For more information on the comparison of property values,
#            see UAX #44: http://www.unicode.org/reports/tr44/
#
#  All block ranges start with a value where (cp MOD 16) = 0,
#  and end with a value where (cp MOD 16) = 15. In other words,
#  the last hexadecimal digit of the start of range is ...0
#  and the last hexadecimal digit of the end of range is ...F.
#  This constraint on block ranges guarantees that allocations
#  are done in terms of whole columns, and that code chart display
#  never involves splitting columns in the charts.
#
#  All code points not explicitly listed for Block
#  have the value No_Block.

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block

0000..007F; 基本拉丁文|Basic Latin 
0080..00FF; 拉丁文补充一|Latin-1 Supplement
0100..017F; 拉丁文扩展甲|Latin Extended-A
0180..024F; 拉丁文扩展乙|Latin Extended-B
0250..02AF; 国际音标扩展|IPA Extensions
02B0..02FF; 间距修饰字|Spacing Modifier Letters
0300..036F; 组合变音标记|Combining Diacritical Marks
0370..03FF; 希腊文及科普特文|Greek and Coptic
0400..04FF; 西里尔文|Cyrillic
0500..052F; 西里尔文补充|Cyrillic Supplement
0530..058F; 亚美尼亚文|Armenian
0590..05FF; 希伯来文|Hebrew
0600..06FF; 阿拉伯文|Arabic
0700..074F; 叙利亚文|Syriac
0750..077F; 阿拉伯文补充|Arabic Supplement
0780..07BF; 它拿文|Thaana
07C0..07FF; 西非书面文字|N'Ko 
0800..083F; 撒玛利亚文|Samaritan
0840..085F; 曼达文|Mandaic
0860..086F; 叙利亚文补充|Syriac Supplement
08A0..08FF; 阿拉伯文扩展甲|Arabic Extended-A
0900..097F; 天城体梵文|Devanāgarī
0980..09FF; 孟加拉文|Bengali
0A00..0A7F; 古木基文|Gurmukhi
0A80..0AFF; 古吉拉特文|Gujarati
0B00..0B7F; 奥里亚文|Oriya
0B80..0BFF; 泰米尔文|Tamil
0C00..0C7F; 泰卢固文|Telugu
0C80..0CFF; 卡纳达文|Kannada
0D00..0D7F; 马拉雅拉姆文|Malayalam
0D80..0DFF; 僧伽罗文|Sinhala
0E00..0E7F; 泰文|Thai
0E80..0EFF; 老挝文|Lao
0F00..0FFF; 藏文|Tibetan
1000..109F; 缅甸文|Myanmar
10A0..10FF; 格鲁吉亚文|Georgian
1100..11FF; 谚文|Hangul Jamo
1200..137F; 吉兹字母|Ethiopic 
1380..139F; 吉兹字母补充|Ethiopic Supplement 
13A0..13FF; 切罗基文|Cherokee
1400..167F; 加拿大统一土著音节|Unified Canadian Aboriginal Syllabics
1680..169F; 欧甘字母|Ogham 
16A0..16FF; 卢恩字母|Runic 
1700..171F; 他加禄文|Tagalog
1720..173F; 哈努诺文|Hanunóo
1740..175F; 布希德文|Buhid
1760..177F; 塔格巴努亚文|Tagbanwa
1780..17FF; 高棉文|Khmer
1800..18AF; 蒙古文|Mongolian
18B0..18FF; 加拿大统一土著音节扩展|Unified Canadian Aboriginal Syllabics Extended
1900..194F; 林布文|Limbu
1950..197F; 德宏傣文|Tai Le
1980..19DF; 新傣仂文|New Tai Lue
19E0..19FF; 高棉符号|Khmer Symbols
1A00..1A1F; 布吉文|Buginese
1A20..1AAF; 老傣文|Tai Tham
1AB0..1AFF; 组合变音标记扩展|Combining Diacritical Marks Extended
1B00..1B7F; 巴厘文|Balinese
1B80..1BBF; 巽他文|Sundanese
1BC0..1BFF; 巴塔克文|Batak
1C00..1C4F; 雷布查文|Lepcha
1C50..1C7F; 桑塔利文|Ol Chiki
1C80..1C8F; 西里尔文扩展丙|Cyrillic Extended-C
1C90..1CBF; 格鲁吉亚文扩展|Georgian Extended
1CC0..1CCF; 巽他文补充|Sundanese Supplement
